colour,id,dayofweek-month-dayofmonth,daynumber,unixtimeint,hour
#829898,1152759450042618339_1324039339,FriJan1,1,1451639656,01
#100606,1152759562943124537_11317612,FriJan1,1,1451639670,01
#5D5050,1152759661045742772_49545510,FriJan1,1,1451639681,01
#765656,1152759701289841308_1514604363,FriJan1,1,1451639686,01
#635353,1152759704969032143_10561035,FriJan1,1,1451639687,01
#442121,1152759736845753286_25451045,FriJan1,1,1451639690,01
#383030,1152759741051330033_476718862,FriJan1,1,1451639691,01
#171212,1152759755319547137_741663076,FriJan1,1,1451639693,01
#756A6A,1152759780308597822_1379112478,FriJan1,1,1451639696,01
#3B3232,1152759821050163682_537730619,FriJan1,1,1451639700,01
#191F1F,1152759941082887245_545748,FriJan1,1,1451639715,01
#708383,1152759948112434326_1268550644,FriJan1,1,1451639716,01
#231A1A,1152759981792877486_1173540821,FriJan1,1,1451639720,01
#6D8282,1152760036555111199_26927189,FriJan1,1,1451639726,01
#352626,1152760049622479984_395156,FriJan1,1,1451639728,01
#6B5151,1152760138663880057_1028884760,FriJan1,1,1451639738,01
#186262,1152760175478445849_18036796,FriJan1,1,1451639743,01
#4E3F3F,1152760226985340387_34372618,FriJan1,1,1451639749,01
#1D0E0E,1152760353728557617_229737363,FriJan1,1,1451639764,01
#954545,1152760392918471327_52850739,FriJan1,1,1451639769,01
#474A4A,1152760421057931652_618754713,FriJan1,1,1451639772,01
#050303,1152760468527970186_555713644,FriJan1,1,1451639778,01
#573E3E,1152760484842974954_272552826,FriJan1,1,1451639780,01
#3A3535,1152760532743454097_277599318,FriJan1,1,1451639785,01
#401818,1152760553887071065_1200310349,FriJan1,1,1451639788,01
#7F4343,1152760563436009821_226177989,FriJan1,1,1451639789,01
#231C1C,1152760569693424082_2205522513,FriJan1,1,1451639790,01
#595C5C,1152760579910278107_883327053,FriJan1,1,1451639791,01
#5C4040,1152760603441569273_270238270,FriJan1,1,1451639794,01
#2B2727,1152760668042788567_2352123806,FriJan1,1,1451639801,01
#768989,1152760674610835832_558198579,FriJan1,1,1451639802,01
#1D1C1C,1152760858890300872_620752138,FriJan1,1,1451639824,01
#120808,1152760896117275856_49545510,FriJan1,1,1451639829,01
#2E2525,1152761009526259548_592558822,FriJan1,1,1451639842,01
#7E5C5C,1152761018811968183_262588353,FriJan1,1,1451639843,01
#2B1818,1152761135337116368_1717002371,FriJan1,1,1451639857,01
#945B5B,1152761258412955954_27890597,FriJan1,1,1451639872,01
#686767,1152761258356301785_2089047614,FriJan1,1,1451639872,01
#705D5D,1152761339280365681_501496797,FriJan1,1,1451639881,01
#256767,1152761370879842772_27656397,FriJan1,1,1451639885,01
#494040,1152761366559906005_196481589,FriJan1,1,1451639885,01
#652929,1152761409852275438_195535381,FriJan1,1,1451639890,01
#8A7979,1152761416958546483_1266475,FriJan1,1,1451639891,01
#010000,1152761481608588866_320090538,FriJan1,1,1451639898,01
#190D0D,1152761500483885440_808331445,FriJan1,1,1451639901,01
#75A9A9,1152761670614745274_1074992911,FriJan1,1,1451639921,01
#1F1818,1152761698882549437_14261148,FriJan1,1,1451639924,01
#867575,1152761717020070095_15557467,FriJan1,1,1451639926,01
#2B2727,1152761756973427108_1397480921,FriJan1,1,1451639931,01
#5F3C3C,1152761782643532746_968171863,FriJan1,1,1451639934,01
#1D1A1A,1152761797356654193_298741378,FriJan1,1,1451639936,01
#363636,1152761856293835939_1607815228,FriJan1,1,1451639943,01
#1F1616,1152761879323403319_379388000,FriJan1,1,1451639946,01
#878888,1152761959785743133_901706839,FriJan1,1,1451639955,01
#544E4E,1152762021150276419_1454788661,FriJan1,1,1451639963,01
#1A1515,1152762044533979669_48145013,FriJan1,1,1451639966,01
#0E0B0B,1152762250809886456_246040048,FriJan1,1,1451639990,01
#251717,1152762284183303493_1010243500,FriJan1,1,1451639994,01
#8B4D4D,1152762342464079756_1511260304,FriJan1,1,1451640001,01
#592222,1152762341969444285_1600390590,FriJan1,1,1451640001,01
#645353,1152762350318182396_2089047614,FriJan1,1,1451640002,01
#4F4E4E,1152762365310211981_31939164,FriJan1,1,1451640004,01
#754E4E,1152762391961419644_1266004750,FriJan1,1,1451640007,01
#050303,1152762502027850490_493099267,FriJan1,1,1451640020,01
#404040,1152762569175413015_406099,FriJan1,1,1451640028,01
#796E6E,1152762668642764866_5794641,FriJan1,1,1451640040,01
#232626,1152762745336478135_659751389,FriJan1,1,1451640049,01
#5C2626,1152762751462546921_30973718,FriJan1,1,1451640050,01
#1E0E0E,1152762758803017976_188484147,FriJan1,1,1451640051,01
#535F5F,1152762938224507368_983646757,FriJan1,1,1451640072,01
#573636,1152763130383454932_2077382835,FriJan1,1,1451640095,01
#080808,1152763328561576965_1054640158,FriJan1,1,1451640119,01
#A06666,1152763359763075470_17714323,FriJan1,1,1451640122,01
#5A4D4D,1152763354596068859_7719690,FriJan1,1,1451640122,01
#6A5858,1152763402620956267_301934794,FriJan1,1,1451640127,01
#4D3939,1152763399287918327_50892098,FriJan1,1,1451640127,01
#506262,1152763427551571088_2079684474,FriJan1,1,1451640130,01
#5E5C5C,1152763467218678608_1096421915,FriJan1,1,1451640135,01
#391515,1152763475424963532_1549384089,FriJan1,1,1451640136,01
#A28686,1152763534506052604_9489209,FriJan1,1,1451640143,01
#8F7474,1152763557784800882_213914562,FriJan1,1,1451640146,01
#393030,1152763572052467721_276648239,FriJan1,1,1451640148,01
#615555,1152763657361435666_268485138,FriJan1,1,1451640158,01
#884E4E,1152763716377871255_7637655,FriJan1,1,1451640165,01
#231B1B,1152763731962771144_601676548,FriJan1,1,1451640167,01
#604E4E,1152763749754370832_242135925,FriJan1,1,1451640169,01
#0C0808,1152763935414465333_493099267,FriJan1,1,1451640191,01
#2E3B3B,1152764108478086634_1627412558,FriJan1,1,1451640212,01
#342727,1152764208521193557_12273113,FriJan1,1,1451640224,01
#592D2D,1152764232719741579_20890587,FriJan1,1,1451640226,01
#372F2F,1152764287835256349_144572892,FriJan1,1,1451640233,01
#684949,1152764284278746394_297053146,FriJan1,1,1451640233,01
#292222,1152764305718834822_2034906980,FriJan1,1,1451640235,01
#8C8383,1152764305585776728_716308113,FriJan1,1,1451640235,01
#585F5F,1152764326948726845_180835345,FriJan1,1,1451640238,01
#B78787,1152764431279118647_196481589,FriJan1,1,1451640250,01
#071313,1152764507052102118_1608825307,FriJan1,1,1451640259,01
#771313,1152764577276767988_250743850,FriJan1,1,1451640267,01
#5C1F1F,1152764705015648754_9696075,FriJan1,1,1451640283,01
#563535,1152764756069221341_8931567,FriJan1,1,1451640289,01
#8A8D8D,1152764789004834719_8568460,FriJan1,1,1451640293,01
#553F3F,1152764787210528882_10364297,FriJan1,1,1451640293,01
#0B0606,1152764869307019487_312486547,FriJan1,1,1451640302,01
#6A5454,1152764905864551114_30666525,FriJan1,1,1451640307,01
#2F2E2E,1152764983990475465_215034277,FriJan1,1,1451640316,01
#1E1E1E,1152764983788518308_1454788661,FriJan1,1,1451640316,01
#4E4E4E,1152764994768061989_368487544,FriJan1,1,1451640317,01
#0D0B0B,1152765113401584932_31634330,FriJan1,1,1451640331,01
#0C0B0B,1152765121921195895_210071190,FriJan1,1,1451640332,01
#4B3030,1152765128163992255_284692823,FriJan1,1,1451640333,01
#705E5E,1152765153564253292_45182390,FriJan1,1,1451640336,01
#563636,1152765310273680842_45714188,FriJan1,1,1451640355,01
#735353,1152765522150116796_43056234,FriJan1,1,1451640380,01
#060404,1152765655800212512_537578962,FriJan1,1,1451640396,01
#243131,1152765653586275083_191094601,FriJan1,1,1451640396,01
#121F1F,1152765696121167966_2103175951,FriJan1,1,1451640401,01
#272424,1152765717496210213_512276799,FriJan1,1,1451640403,01
#352828,1152765746043612178_1144177746,FriJan1,1,1451640407,01
#6E4343,1152765846356201936_17714323,FriJan1,1,1451640419,01
#0A0404,1152765866018136371_28903383,FriJan1,1,1451640421,01
#626262,1152765862536459288_214792988,FriJan1,1,1451640421,01
#665454,1152765992023174457_297053146,FriJan1,1,1451640436,01
#3B3C3C,1152766070068995715_587441400,FriJan1,1,1451640445,01
#090606,1152766077139709635_320090538,FriJan1,1,1451640446,01
#3D4141,1152766171310785492_484321087,FriJan1,1,1451640457,01
#151919,1152766293653689792_356229452,FriJan1,1,1451640472,01
#272424,1152766412961724949_659751389,FriJan1,1,1451640486,01
#050505,1152766445587977596_223004276,FriJan1,1,1451640490,01
#4F6060,1152766599332243812_44942185,FriJan1,1,1451640509,01
#675757,1152766636274362618_316895905,FriJan1,1,1451640513,01
#242121,1152766660484267540_416906278,FriJan1,1,1451640516,01
#0F0A0A,1152766668883903605_221278856,FriJan1,1,1451640517,01
#573434,1152766687235708015_1443946444,FriJan1,1,1451640519,01
#261C1C,1152766727542623089_181366105,FriJan1,1,1451640524,01
#0E2828,1152766745858627839_351109693,FriJan1,1,1451640526,01
#816969,1152766755076475523_13318489,FriJan1,1,1451640527,01
#5A4747,1152766831764460366_2077382835,FriJan1,1,1451640536,01
#6A6262,1152767144935608157_235592098,FriJan1,1,1451640574,01
#8D4D4D,1152767264785592551_394713995,FriJan1,1,1451640588,01
#7F8383,1152767331263821932_247432541,FriJan1,1,1451640596,01
#517979,1152767373662076999_515349719,FriJan1,1,1451640601,01
#956F6F,1152767381873137564_2292828364,FriJan1,1,1451640602,01
#3B1717,1152767496545297580_30653256,FriJan1,1,1451640615,01
#544444,1152767501459571673_901706839,FriJan1,1,1451640616,01
#554242,1152767519279917633_2107724713,FriJan1,1,1451640618,01
#1C1313,1152767534907170053_714944006,FriJan1,1,1451640620,01
#271C1C,1152767532381867322_10693682,FriJan1,1,1451640620,01
#1B2020,1152767544870091362_1701426325,FriJan1,1,1451640621,01
#2B2121,1152767563661629734_196927357,FriJan1,1,1451640623,01
#202828,1152767573509048722_195061569,FriJan1,1,1451640625,01
#6E3E3E,1152767731502954812_283399365,FriJan1,1,1451640644,01
